zone_id,timestamp,disruption_label,risk_point_estimate,risk_lower_90,risk_upper_90
Z01,2025-08-29 07:00:00,0,0.008929401,0.0,0.07819604407995939
Z02,2025-08-29 07:00:00,0,0.01861355,0.0,0.0878801941871643
Z03,2025-08-29 07:00:00,0,0.008465485,0.0,0.07773212809115648
Z04,2025-08-29 07:00:00,0,0.021378148,0.0,0.09064479172229767
Z05,2025-08-29 07:00:00,0,0.05758368,0.0,0.12685032188892365
Z06,2025-08-29 07:00:00,0,0.35324916,0.0,0.9734297573566436
Z07,2025-08-29 07:00:00,0,0.06219439,0.0,0.1314610317349434
Z08,2025-08-29 07:00:00,0,0.011523733,0.0,0.08079037629067898
Z09,2025-08-29 07:00:00,0,0.014223923,0.0,0.08349056635051966
Z10,2025-08-29 07:00:00,0,0.0121518,0.0,0.08141844347119331
Z01,2025-08-29 08:00:00,0,0.05284555,0.0,0.12211219221353531
Z02,2025-08-29 08:00:00,0,0.14345556,0.0,0.33760024011135104
Z03,2025-08-29 08:00:00,0,0.29749033,0.0,0.5953640043735504
Z04,2025-08-29 08:00:00,0,0.14557023,0.0,0.33971490859985354
Z05,2025-08-29 08:00:00,0,0.10285123,0.0,0.2969959020614624
Z06,2025-08-29 08:00:00,0,0.5696563,0.0,1.0
Z07,2025-08-29 08:00:00,0,0.10528202,0.0,0.2994266986846924
Z08,2025-08-29 08:00:00,0,0.31404272,0.0,0.934223312139511
Z09,2025-08-29 08:00:00,0,0.16813321,0.0,0.362277889251709
Z10,2025-08-29 08:00:00,0,0.10810336,0.0,0.30224803239107134
Z01,2025-08-29 09:00:00,0,0.552257,0.0,1.0
Z02,2025-08-29 09:00:00,0,0.04119662,0.0,0.11046326160430908
Z03,2025-08-29 09:00:00,0,0.10612156,0.0,0.3002662375569344
Z04,2025-08-29 09:00:00,0,0.14285627,0.0,0.33700094521045687
Z05,2025-08-29 09:00:00,0,0.12320226,0.0,0.31734693199396136
Z06,2025-08-29 09:00:00,0,0.26231322,0.0,0.560186892747879
Z07,2025-08-29 09:00:00,1,0.41581142,0.0,0.9692777574062347
Z08,2025-08-29 09:00:00,0,0.55717194,0.0,1.0
Z09,2025-08-29 09:00:00,1,0.81097823,0.0,1.0
Z10,2025-08-29 09:00:00,0,0.5211547,0.0,1.0
Z01,2025-08-29 10:00:00,0,0.1786031,0.0,0.37274777293205263
Z02,2025-08-29 10:00:00,0,0.034812022,0.0,0.10407866537570953
Z03,2025-08-29 10:00:00,0,0.037255272,0.0,0.10652191564440727
Z04,2025-08-29 10:00:00,0,0.05291941,0.0,0.12218605354428291
Z05,2025-08-29 10:00:00,0,0.47158486,0.0,1.0
Z06,2025-08-29 10:00:00,0,0.05903401,0.0,0.12830065190792084
Z07,2025-08-29 10:00:00,0,0.15996334,0.0,0.35410801470279696
Z08,2025-08-29 10:00:00,0,0.08855515,0.019288506358861923,0.15782179310917854
Z09,2025-08-29 10:00:00,0,0.107287355,0.0,0.30143202990293505
Z10,2025-08-29 10:00:00,1,0.682351,0.0034708738327026145,1.0
Z01,2025-08-29 11:00:00,0,0.010082978,0.0,0.07934962119907141
Z02,2025-08-29 11:00:00,0,0.008384373,0.0,0.0776510164141655
Z03,2025-08-29 11:00:00,0,0.011813671,0.0,0.0810803147032857
Z04,2025-08-29 11:00:00,0,0.009192187,0.0,0.07845883071422577
Z05,2025-08-29 11:00:00,0,0.021844832,0.0,0.09111147560179234
Z06,2025-08-29 11:00:00,0,0.00980253,0.0,0.07906917296350002
Z07,2025-08-29 11:00:00,0,0.0103519745,0.0,0.07961861789226532
Z08,2025-08-29 11:00:00,0,0.009241928,0.0,0.07850857172161341
Z09,2025-08-29 11:00:00,0,0.0080882115,0.0,0.0773548549041152
Z10,2025-08-29 11:00:00,0,0.009452403,0.0,0.07871904596686363
Z01,2025-08-29 12:00:00,0,0.3673512,0.0,0.9875317990779876
Z02,2025-08-29 12:00:00,1,0.6036113,0.0,1.0
Z03,2025-08-29 12:00:00,0,0.021825308,0.0,0.0910919513553381
Z04,2025-08-29 12:00:00,0,0.81397766,0.0,1.0
Z05,2025-08-29 12:00:00,0,0.19861828,0.004473602771759039,0.39276295304298403
Z06,2025-08-29 12:00:00,0,0.02389687,0.0,0.09316351264715195
Z07,2025-08-29 12:00:00,0,0.08985472,0.020588073879480362,0.15912136062979698
Z08,2025-08-29 12:00:00,0,0.3185518,0.0,0.9387324035167693
Z09,2025-08-29 12:00:00,0,0.62056255,0.0,1.0
Z10,2025-08-29 12:00:00,0,0.0103361,0.0,0.079602743498981
Z01,2025-08-29 13:00:00,0,0.050096817,0.0,0.1193634606897831
Z02,2025-08-29 13:00:00,0,0.08775009,0.018483448773622513,0.15701673552393913
Z03,2025-08-29 13:00:00,0,0.48177642,0.0,1.0
Z04,2025-08-29 13:00:00,0,0.05544556,0.0,0.12471220269799232
Z05,2025-08-29 13:00:00,0,0.054826684,0.0,0.12409332767128944
Z06,2025-08-29 13:00:00,0,0.06728961,0.0,0.1365562565624714
Z07,2025-08-29 13:00:00,0,0.17982633,0.0,0.3739710092544556
Z08,2025-08-29 13:00:00,0,0.46912143,0.0,1.0
Z09,2025-08-29 13:00:00,0,0.45055676,0.0,1.0
Z10,2025-08-29 13:00:00,0,0.13446371,0.0,0.32860838770866396
Z01,2025-08-29 14:00:00,0,0.80017436,0.0,1.0
Z02,2025-08-29 14:00:00,0,0.12594046,0.0,0.3200851321220398
Z03,2025-08-29 14:00:00,0,0.5198793,0.0,1.0
Z04,2025-08-29 14:00:00,0,0.028499333,0.0,0.09776597656309605
Z05,2025-08-29 14:00:00,1,0.3428976,0.0,0.9630781888961791
Z06,2025-08-29 14:00:00,0,0.112126514,0.0,0.3062711894512177
Z07,2025-08-29 14:00:00,0,0.12630098,0.0,0.32044565081596377
Z08,2025-08-29 14:00:00,0,0.16145325,0.0,0.355597922205925
Z09,2025-08-29 14:00:00,0,0.014972031,0.0,0.0842386744916439
Z10,2025-08-29 14:00:00,0,0.07692487,0.007658224552869797,0.14619151130318642
Z01,2025-08-29 15:00:00,0,0.009111239,0.0,0.07837788201868534
Z02,2025-08-29 15:00:00,0,0.009038955,0.0,0.07830559834837914
Z03,2025-08-29 15:00:00,0,0.01632879,0.0,0.08559543266892433
Z04,2025-08-29 15:00:00,0,0.00894379,0.0,0.0782104330137372
Z05,2025-08-29 15:00:00,0,0.0133618545,0.0,0.08262849785387516
Z06,2025-08-29 15:00:00,0,0.008780043,0.0,0.07804668601602316
Z07,2025-08-29 15:00:00,0,0.023157202,0.0,0.09242384508252144
Z08,2025-08-29 15:00:00,0,0.00875981,0.0,0.07802645303308964
Z09,2025-08-29 15:00:00,0,0.008792343,0.0,0.0780589859932661
Z10,2025-08-29 15:00:00,0,0.009328454,0.0,0.07859509717673063
Z01,2025-08-29 16:00:00,0,0.008562341,0.0,0.07782898470759392
Z02,2025-08-29 16:00:00,0,0.009142269,0.0,0.07840891275554895
Z03,2025-08-29 16:00:00,0,0.00898171,0.0,0.07824835367500782
Z04,2025-08-29 16:00:00,0,0.009558654,0.0,0.07882529776543379
Z05,2025-08-29 16:00:00,0,0.010095074,0.0,0.07936171721667051
Z06,2025-08-29 16:00:00,0,0.009346817,0.0,0.07861346006393433
Z07,2025-08-29 16:00:00,0,0.016230175,0.0,0.0854968186467886
Z08,2025-08-29 16:00:00,0,0.009271656,0.0,0.07853829953819513
Z09,2025-08-29 16:00:00,0,0.008460995,0.0,0.07772763818502426
Z10,2025-08-29 16:00:00,0,0.008724422,0.0,0.07799106556922197
Z01,2025-08-29 17:00:00,0,0.058650274,0.0,0.12791691720485687
Z02,2025-08-29 17:00:00,0,0.036395825,0.0,0.10566246882081032
Z03,2025-08-29 17:00:00,0,0.018073816,0.0,0.08734045922756195
Z04,2025-08-29 17:00:00,0,0.053045914,0.0,0.12231255695223808
Z05,2025-08-29 17:00:00,0,0.053778723,0.0,0.12304536625742912
Z06,2025-08-29 17:00:00,0,0.18751615,0.0,0.38166082799434664
Z07,2025-08-29 17:00:00,0,0.09031018,0.021043535321950912,0.15957682207226753
Z08,2025-08-29 17:00:00,0,0.053941358,0.0,0.12320800125598907
Z09,2025-08-29 17:00:00,0,0.10452416,0.0,0.2986688330769539
Z10,2025-08-29 17:00:00,0,0.03736071,0.0,0.10662735253572464
Z01,2025-08-29 18:00:00,0,0.07901358,0.009746935218572617,0.14828022196888924
Z02,2025-08-29 18:00:00,0,0.04493148,0.0,0.11419812217354774
Z03,2025-08-29 18:00:00,0,0.04806624,0.0,0.11733288317918777
Z04,2025-08-29 18:00:00,1,0.3580426,0.0,0.9782231926918029
Z05,2025-08-29 18:00:00,0,0.074704446,0.0054378025233745575,0.14397108927369118
Z06,2025-08-29 18:00:00,0,0.08339956,0.014132913202047348,0.15266619995236397
Z07,2025-08-29 18:00:00,0,0.23838055,0.0,0.5362542271614075
Z08,2025-08-29 18:00:00,0,0.04737815,0.0,0.11664479225873947
Z09,2025-08-29 18:00:00,0,0.051243052,0.0,0.12050969526171684
Z10,2025-08-29 18:00:00,0,0.52706695,0.0,1.0
Z01,2025-08-29 19:00:00,1,0.9798794,0.8950879454612731,1.0
Z02,2025-08-29 19:00:00,1,0.9816265,0.8968350768089294,1.0
Z03,2025-08-29 19:00:00,1,0.94463915,0.8598477125167846,1.0
Z04,2025-08-29 19:00:00,1,0.9523235,0.8675320625305175,1.0
Z05,2025-08-29 19:00:00,1,0.9932939,0.908502447605133,1.0
Z06,2025-08-29 19:00:00,1,0.9834135,0.8986220836639404,1.0
Z07,2025-08-29 19:00:00,1,0.9902582,0.9054667830467223,1.0
Z08,2025-08-29 19:00:00,1,0.9348639,0.8500724911689758,1.0
Z09,2025-08-29 19:00:00,0,0.8288764,0.0,1.0
Z10,2025-08-29 19:00:00,0,0.7435764,0.0,1.0
Z01,2025-08-29 20:00:00,1,0.9819135,0.8971220731735229,1.0
Z02,2025-08-29 20:00:00,1,0.9579674,0.8731759667396545,1.0
Z03,2025-08-29 20:00:00,0,0.8720199,0.0,1.0
Z04,2025-08-29 20:00:00,1,0.6743562,0.0,1.0
Z05,2025-08-29 20:00:00,1,0.95060563,0.865814197063446,1.0
Z06,2025-08-29 20:00:00,1,0.87023675,0.0,1.0
Z07,2025-08-29 20:00:00,0,0.3909527,0.0,1.0
Z08,2025-08-29 20:00:00,1,0.96219295,0.8774015188217162,1.0
Z09,2025-08-29 20:00:00,1,0.9711689,0.8863774418830871,1.0
Z10,2025-08-29 20:00:00,0,0.13667548,0.0,0.3308201521635056
Z01,2025-08-29 21:00:00,0,0.36478162,0.0,0.9849622130393981
Z02,2025-08-29 21:00:00,0,0.2018073,0.0,0.4996809810400009
Z03,2025-08-29 21:00:00,0,0.579173,0.0,1.0
Z04,2025-08-29 21:00:00,0,0.18898365,0.0,0.38312832415103915
Z05,2025-08-29 21:00:00,1,0.5664222,0.0,1.0
Z06,2025-08-29 21:00:00,0,0.65855867,0.0,1.0
Z07,2025-08-29 21:00:00,0,0.8422899,0.0,1.0
Z08,2025-08-29 21:00:00,0,0.047921963,0.0,0.11718860641121864
Z09,2025-08-29 21:00:00,0,0.09246598,0.02319933846592903,0.16173262521624565
Z10,2025-08-29 21:00:00,0,0.6119562,0.0,1.0
Z01,2025-08-29 22:00:00,1,0.98619384,0.9014024019241332,1.0
Z02,2025-08-29 22:00:00,1,0.65273315,0.0,1.0
Z03,2025-08-29 22:00:00,0,0.1728332,0.0,0.3669778794050217
Z04,2025-08-29 22:00:00,1,0.7391541,0.0,1.0
Z05,2025-08-29 22:00:00,0,0.6342286,0.0,1.0
Z06,2025-08-29 22:00:00,0,0.6571478,0.0,1.0
Z07,2025-08-29 22:00:00,1,0.93349975,0.8487083196640014,1.0
Z08,2025-08-29 22:00:00,0,0.022161236,0.0,0.0914278794080019
Z09,2025-08-29 22:00:00,0,0.047074124,0.0,0.1163407675921917
Z10,2025-08-29 22:00:00,0,0.09883673,0.0295700840651989,0.16810337081551552
