feature,mean_abs_shap
orders_per_rider,2.0389004
travel_time_index,0.549855
congestion_pct,0.44980225
rain_x_traffic,0.21371987
capacity_gap,0.16581768
avg_speed,0.1558555
current_orders,0.13537678
demand_x_rider_shortage,0.08183278
demand_surge_rate,0.037326377
forecast_rainfall_1h,0.03521287
current_rainfall,0.03410757
required_riders_est,0.03322145
coverage_hours,0.029962098
rain_probability,0.01892003
available_riders,0.017530302
historical_avg_demand,0.013756401
temperature,0.012732571
expected_next_hour_orders,0.01118431
recent_orders_2h,0.009431725
humidity,0.00814401
inventory_level,0.007578705
wind_speed,0.0054233056
riders_in_transit,0.0045038755
rider_utilization,0.0041854265
historical_sla_breach_rate,0.0041178544
busy_riders,0.0037873585
day_of_week,0.0033774022
hour_of_day,0.002962357
zone_Z06,0.0025355434
zone_Z09,0.001468594
zone_Z05,0.00087675126
zone_Z04,0.0008021791
incoming_replenishment,0.0007553681
zone_Z08,0.00067609485
zone_Z10,0.0005583842
recent_delivery_time_avg,0.00051092147
is_weekend,0.00018429018
zone_Z01,8.834245e-05
stockout_risk_flag,0.0
previous_disruption_flag,0.0
is_peak_hour,0.0
zone_Z02,0.0
distance_tier_ordinal,0.0
zone_Z03,0.0
zone_Z07,0.0
